id,user_id,card_number,card_expiry_date,card_cvc,created_at
11,1,4024007136512381,2025-12-31,123,2024-06-08 10:25:00
12,2,4929123442364528,2025-12-31,456,2024-06-09 12:40:00
13,3,4916310928580731,2025-12-31,789,2024-06-10 14:55:00
14,4,4485019104087558,2025-12-31,012,2024-06-11 17:10:00
15,5,4556750022441600,2025-12-31,345,2024-06-12 19:25:00
16,6,4485378241805120,2025-12-31,678,2024-06-13 21:40:00
17,7,4532721447692558,2025-12-31,901,2024-06-14 23:55:00
18,8,4716142368302358,2025-12-31,234,2024-06-15 01:10:00
19,9,4539053493142445,2025-12-31,567,2024-06-16 03:25:00
20,10,4556885241416845,2025-12-31,890,2024-06-17 05:40:00
21,1,4485378241805120,2025-12-31,123,2024-06-18 07:55:00
22,2,4532721447692558,2025-12-31,456,2024-06-19 10:10:00
23,3,4716142368302358,2025-12-31,789,2024-06-20 12:25:00
24,4,4539053493142445,2025-12-31,012,2024-06-21 14:40:00
25,5,4556885241416845,2025-12-31,345,2024-06-22 16:55:00
26,6,4024007136512381,2025-12-31,678,2024-06-23 19:10:00
27,7,4929123442364528,2025-12-31,901,2024-06-24 21:25:00
28,8,4916310928580731,2025-12-31,234,2024-06-25 23:40:00
29,9,4485019104087558,2025-12-31,567,2024-06-26 01:55:00
30,10,4556750022441600,2025-12-31,890,2024-06-27 04:10:00
31,1,4485378241805120,2025-12-31,123,2024-06-28 06:25:00
32,2,4532721447692558,2025-12-31,456,2024-06-29 08:40:00
33,3,4716142368302358,2025-12-31,789,2024-06-30 10:55:00
34,4,4539053493142445,2025-12-31,012,2024-07-01 13:10:00
35,5,4556885241416845,2025-12-31,345,2024-07-02 15:25:00
36,6,4024007136512381,2025-12-31,678,2024-07-03 17:40:00
37,7,4929123442364528,2025-12-31,901,2024-07-04 19:55:00
38,8,4916310928580731,2025-12-31,234,2024-07-05 22:10:00
39,9,4485019104087558,2025-12-31,567,2024-07-06 00:25:00
40,10,4556750022441600,2025-12-31,890,2024-07-07 02:40:00
41,1,4485378241805120,2025-12-31,123,2024-07-08 04:55:00
42,2,4532721447692558,2025-12-31,456,2024-07-09 07:10:00
43,3,4716142368302358,2025-12-31,789,2024-07-10 09:25:00
44,4,4539053493142445,2025-12-31,012,2024-07-11 11:40:00
45,5,4556885241416845,2025-12-31,345,2024-07-12 13:55:00
46,6,4024007136512381,2025-12-31,678,2024-07-13 16:10:00
47,7,4929123442364528,2025-12-31,901,2024-07-14 18:25:00
48,8,4916310928580731,2025-12-31,234,2024-07-15 20:40:00
49,9,4485019104087558,2025-12-31,567,2024-07-16 22:55:00
50,10,4556750022441600,2025-12-31,890,2024-07-17 01:10:00
